Nome,Instituição,Lider 1,Lider 2,Área
Bases da Psicologia na Educação,PUC/SP,Laurinda Ramalho de Almeida,Jeanny Meiry Sombra Silva,Educação
Bases do Direito Civil Atual,UFPE,Humberto João Carneiro Filho,,Direito
"BASES ECOLÓGICAS PARA A GESTÃO, MANEJO E RESTAURAÇÃO DE FLORESTAS E PAISAGENS TROPICAIS",MPEG,Ima Célia Guimarães Vieira,,Ecologia
Bases Epistemológicas da Leitura Crítica da Mídia,UFG,Simone Antoniaci Tuzzo,Tiago Mainieri de Oliveira,Comunicação
BASES ETIOLÓGICAS DE DOENÇAS GENÉTICAS DE DESENVOLVIMENTO,USP,Ana Cristina Victorino Krepischi,,Genética
Bases genéticas das doenças endocrinológicas,UNESP,Celia Regina Nogueira,,Medicina
Bases Genéticas das Doenças Oftalmológicas e Hematológicas,UNICAMP,Mônica Barbosa de Melo,,Genética
Bases genéticas de doenças multifatoriais humanas,UFF,Fabiana Barzotto Kohlrausch,,Genética
Bases moleculares da carcinogênese química e complicações do diabetes,USP,Ana Paula de Melo Loureiro,,Farmácia
Bases moleculares da função celular,UFAL,Emiliano de Oliveira Barreto,Renato Santos Rodarte,Biologia Geral
"Bases moleculares da interação hospedeiro-patógeno (fungos patogênicos: P. brasiliensis, C. albicans e C. neoformans)",UnB,Ildinete Silva Pereira,Patrícia Albuquerque de Andrade Nicola,Bioquímica
Bases Moleculares da Proliferação Celular,FCMSCSP,Wagner Ricardo Montor,,Bioquímica
Bases Moleculares da Susceptibilidade do Hospedeiro,PUC/PR,Marcelo Távora Mira,Vanessa Santos Sotomaior,Medicina
Bases Moleculares de Doenças Endócrinas e Processos Reprodutivos: Abordagens Translacionais,UFRJ,Tania Maria Ruffoni Ortiga,,Fisiologia
Bases moleculares envolvidas na atividade antitumoral de compostos naturais e sintéticos,UNIFAL/MG,Marisa Ionta,,Genética
"Bases moleculares, terapia e diagnóstico de doenças neurodegenerativas",UFRJ,Tuane Cristine Ramos Goncalves Vieira,,Bioquímica
"Bases Neurais da Emoção, Aprendizagem e Memória",UFSCAR,Amanda Ribeiro de Oliveira,,Psicologia
Bases neuroanatomicas das terminações nervosas livres e mecanorreceptores por imunohistoquimica e microscopia confocal a laser,UFC,Maria Luzete Costa Cavalcante,,Medicina
Bases neurobiológicas dos transtornos psiquiátricos e psiquiatria translacional,UFC,Danielle Macêdo Gaspar,Lia Lira Olivier Sanders,Farmacologia
"BASTET - Biologia, Ambiente, Sociedade, Tecnologia, Educação e Transformação.",IFES,Daniele Alves Marinho,,Biologia Geral
BATE-BOLA ACADÊMICO GRUPO DE ESTUDOS - B.B.A.G.E.,UNIFOR,Anna Beatriz Grangeiro Ribeiro Maia,Claudio Azevedo Peixoto Júnior,Administração
BATUMOBILE,UNILAB,Sérgio Servilha de OlIveira,,Engenharia Mecânica
BATUQUES - Grupo de Pesquisa em Patrimônio Cultural e Representações do Lugar,UNAMA,Edgar Monteiro Chagas Junior,Analaura Corradi,Antropologia
BDES - Grupo de Banco de Dados e Engenharia de Software,UDESC,Fabiano Baldo,Carla Diacui Medeiros Berkenbrock,Ciência da Computação
"Bebidas, alimentos e cultura: estudos sobre a cerveja",IFB,Tatiana de Macedo Soares Rotolo,,Turismo
Beemote - Núcleo de Teoria Política e Pensamento Político Brasileiro.,UERJ,Christian Edward Cyril Lynch,Paulo Henrique Paschoeto Cassimiro,Ciência Política
Behaviorismo Radical e Análise do Comportamento,UFPR,Jocelaine Martins da Silveira,Alexandre Dittrich,Psicologia
BEING - Bioengineering innovation group,UEL,Altibano Ortenzi Junior,,Engenharia Biomédica
BEL - Behavioral Sciences Lab,USP,Fernando Carvalho de Almeida,,Administração
"Bela, recatada e do lar: Núcleo sobre Gênero, Identidade e Feminismo - BELAS",UFF,Priscila Erminia Riscado,Andres Del Río,Ciência Política
BELEZA COM SAUDE,UNICEUMA,Ana Eugênia Araújo Furtado Almeida,Sarah Tarcisia Rebelo Ferreira de Carvalho,Saúde Coletiva
Belvidera - Núcleo de Estudos Oitocentistas,UFPE,André de Sena Wanderley,,Letras
Bem-estar Animal,UFPR,Carla Forte Maiolino Molento,,Medicina Veterinária
Bem-Estar e Consumo,UFPB,Rita de Cássia de Faria Pereira,,Administração
Bem-estar no Ensino Superior (BES),UNASP,Joene Vieira dos Santos,,Psicologia
Bem-estar Psicológico (BEP): aplicações para a gestão,ESPM,Flávia Feitosa Santana,Mariana Malvezzi,Psicologia
BEMOL - Base de Estudos em Medicina e Odontologia Legal,UFBA,Bruno Gil de Carvalho Lima,,Medicina
Benditos: Núcleo de Design Antropologia,UFCA,Ana Neuza Botelho Videla,Kátia Medeiros de Araújo,Antropologia
Beneficiamento e Meio Ambiente,UFVJM,Emily Mayer de Andrade Becheleni,,Engenharia de Minas
"Benjamin, modernidade, contemporaneidade",UFPA,André Barbosa de Macedo,,Letras
"Besouros Detritívoros, Micetócolos e Predadores",UFV,Cristiano Lopes Andrade,,Zoologia
Best-sellers em Língua Inglesa,UFES,Daniella Bertocchi Moreira,,Letras
BI Research Group - diagnósticos de Business Intelligence e modelos empresariais.,UFMS,Yasmin Gomes Casagranda,,Administração
BIA-Lab - Laboratório e Banco de Ideias em Arquitetura,UERJ,Patricia Regina Chaves Drach,Maria das Graças Ferreira,Arquitetura e Urbanismo
BIAOR - Biomecânica Aplicada a Odontologia Restauradora,UFU,Carlos José Soares,,Odontologia
Biblia e Pastoral,PUC/PR,Vicente Artuso,Luiz Alexandre Solano Rossi,Teologia
"Bíblia, Arqueologia e Religião",EST,Flavio Schmitt,Carolina Bezerra de Souza,Teologia
"Bíblia, Teologia e Narratologia",PUC/PR,Fabrizio Zandonadi Catenassi,,Teologia
Bíblia: interpretação e práxis,PUC Minas,Junior Vasconcelos do Amaral,Jean Richard Lopes,Teologia
Bibliometria e Cientometria como abordagem teórico-metodológica para a Organização do Conhecimento,UFRJ,Vania Lisboa da Silveira Guedes,Maria Jose Veloso da Costa Santos,Ciência da Informação
Bibliometria em biologia celular,UFRJ,Manoel Luis Pereira da Silva Costa,,Morfologia
Biblioteca digital,UnB,Murilo Bastos da Cunha,Fernando William Cruz,Ciência da Informação
Biblioteca do Bicentenário da Independência do Brasil,UNIFESP,Andréa Slemian,,História
Biblioteca e Sociedade,UnB,Emir José Suaiden,Kira Maria Antonia Tarapanoff,Ciência da Informação
"Biblioteca, Informação e Sociedade (BIS)",UFCA,Maria Cleide Rodrigues Bernardino,Fabiana Aparecida Lazzarin,Ciência da Informação
Bibliotecas Públicas no Brasil: reflexão e prática,UNIRIO,Alberto Calil Elias Junior,Patricia Vargas Alencar,Ciência da Informação
"Bibliotecas, memória e resistência",UNIRIO,Daniele Achilles Dutra da Rosa,Deise Maria Antonio Sabbag,Ciência da Informação
"Biblioteconomia, extensão universitária e mediação da informação - BEM",UFCA,Elieny do Nascimento Silva,,Ciência da Informação
BICAS - Iniciativa BRICS de Estudos sobre Transformações Agrárias,UnB,Sergio Sauer,Moisés Villamil Balestro,Sociologia
Bicombustíveis,UNINGA,Ana Carolina Gomes Mantovani,,Física
Big Data Analytics,IFPR,Tarlis Tortelli Portela,,Ciência da Computação
Big Data e Análise Quantitativa (BDAQ),UFRJ,Cristina Pimenta de Mello Spineti Luz,Marcelo Castaneda de Araujo,Administração
Big Data e Métodos Analíticos Aplicados - BigMAAp,MACKENZIE,Leandro Augusto da Silva,Arnaldo Rabello de Aguiar Vallim Filho,Engenharia Elétrica
"BIG DATA: Biologia Celular, Bioinformática e Georreferenciamento do Câncer",AHPIRC,Bonald Cavalcante de Figueiredo,,Medicina
BILbo - Behavioural Informatics Laboratory,UFLA,Eric Fernandes de Mello Araújo,,Ciência da Computação
Bildung,IFPR,Felipe Luiz Gomes Figueira,Rogério Luis da Rocha Seixas,Educação
Bildung - Direito e Humanidades,UNESA,Luã Nogueira Jung,,Direito
Bilinguando,UFRGS,Karen Pupp Spinassé,,Lingüística
BIM e suas aplicações,IFPB,Fabio Silveira Martins de Oliveira,,Engenharia Civil
Bingo ABDUS,USP,Elcio Abdalla,,Física
BINGO radiotelescópio - PB,UFCG,Amilcar Rabelo de Queiroz,Luciano Barosi de Lemos,Astronomia
Bio Análises,UEPB,Maria Auxiliadora Lins da Cunha,Alessandra Teixeira,Farmácia
BIO-FAUNA,UFRA,Maria das Dores Correia Palha,Alanna do Socorro Lima da Silva,Medicina Veterinária
BIO-GAIA (Geotecnologias Aplicadas à Avaliação de Impactos Ambientais),UNIRIO,Luzia Alice Ferreira de Moraes,Camila Maistro Patreze,Ecologia
"Bioacústica, Comportamento e Conservação de Peixes",UEPB,Tacyana Pereira Ribeiro de Oliveira,,Zoologia
"Bioacústica, Ecologia e Comportamento Animal - BECA",IFPR,Gledson Vigiano Bianconi,,Ecologia
BIOADSORÇÃO,UECE,Vicente de Oliveira Sousa Neto,Marco Antonio Ventura Romero,Engenharia Sanitária
Bioagentes na agricultura,UniEVANGELICA,Alan Carlos Alves de Souza,Lucas Marquezan Nascimento,Agronomia
Bioanálises,UFRN,Valéria Soraya de Farias Sales,Maria das Graças Almeida,Farmácia
BioanÔmica,UFJF,Marcone Augusto Leal de Oliveira,,Química
Bioantropologia e Antropologia Forense,UFMS,Priscila Lini,,Antropologia
Bioantropologia no contexto da saúde humana na Amazônia Brasileira,UFPA,Izaura Maria Vieira Cayres Vallinoto,,Microbiologia
Bioarqueo-NE - Grupo de Pesquisa em Bioarqueologia do Nordeste Brasileiro,UFPI,Claudia Minervina Souza Cunha,Tiago Pedro Ferreira Tomé,Arqueologia
Bioatividades de lectinas e inibidores de proteases,UFPE,Patrícia Maria Guedes Paiva,Thiago Henrique Napoleão,Bioquímica
BIOATIVOS AMAZÔNICOS,UNIFAP,Alessandra Azevedo do Nascimento,,Farmácia
"Bioativos em alimentos: inovação, desenvolvimento e caracterização",UFSC,Renata Dias de Mello Castanho Amboni,Carlise Beddin Fritzen Freire,Ciência e Tecnologia de Alimentos
BioBD - Bioinformática e Bancos de Dados,PUC-Rio,Sergio Lifschitz,,Ciência da Computação
Biocat-UFC - Grupo de Pesquisa em Biocatálise da UFC,UFC,Marcos Carlos de Mattos,Maria da Conceição Ferreira de Oliveira,Química
Biocatálise e Tecnologia Enzimática,UFRGS,Rafael Costa Rodrigues,,Ciência e Tecnologia de Alimentos
Biocatalysis and Organic Synthesis Group,UFRJ,Rodrigo Octavio Mendonca Alves de Souza,,Química
"BIOCATSS - Biocombustíveis, Catálise e Sustentabilidade no Semiárido",UNIVASF,Yariadner Costa Brito Spinelli,,Química
"BioCER - Biologia Celular, Endocrinologia e Reprodução/UFVJM",UFVJM,Kinulpe Honorato Sampaio,,Medicina
BioChaves,UFS,Jugurta Rosa Montalvao Filho,Jânio Coutinho Canuto,Engenharia Elétrica
BioCiano,UFPA,Luciana Pereira Xavier,,Biotecnologia
BiociÃªncias e SaÃºde,UFPR,Ana Paula Carneiro Brandalize,Kádima Nayara Teixeira,Genética
Biociências,UNIFAL/MG,Alessandra Esteves,Wagner Costa Rossi Junior,Morfologia
Biociencias,UFFS,Nessana Dartora,Daniel Joner Daroit,Ecologia
Biociências Aplicadas a Saúde (BAS),UFVJM,Sarah Alves Auharek,Douglas Santos Monteiro,Farmacologia
Biociências aplicadas à saúde na prática multidisciplinar,UEPG,Elisangela Gueiber Montes,,Farmácia
Biociências e (Nano)biotecnologia aplicada à Saúde,UFRJ,Theo Luiz Ferraz de Souza,,Biotecnologia
BIOCIÊNCIAS E ANÁLISE DE MATERIAIS ODONTOLÓGICOS,UNIFSA,Patrick Veras Quelemes,,Odontologia
BIOCIÊNCIAS E BIODIVERSIDADE: ECOLOGIA E CONSERVAÇÃO AMBIENTAL (BIOECOA),UNEB,Jorge Luiz Fortuna,,Biologia Geral
Biociências e Biotecnologia em Saúde,UNEAL,Abel Barbosa Lira Neto,Israel Gomes de Amorim Santos,Biologia Geral
Biociências Integrativas,UNIFRAN,Marcela Aldrovani Rodrigues,,Medicina Veterinária
Biociências no desenvolvimento socioambiental da Costa Branca,IFRN,Paula Ivani Medeiros dos Santos,Carlos Allan de Souza Oliveira,Biologia Geral
Biociências no Processo Saúde-Doença,UNOESC,Aline Pertile Remor,Diego de Carvalho,Medicina
"Bioclimatologia, etologia, ambiência e produção animal",UDESC,Ana Luiza Bachmann Schogor,Diovani Paiano,Zootecnia
Biocogni: Metacognição em Biologia e afins,UNILAB,Eveline Pinheiro de Aquino,,Ecologia
Biocombustíveis,UFRRJ,Marisa Fernandes Mendes,,Engenharia Química
BIOCOMBUSTÍVEIS,UFPA,Michelle Rossana Ferreira Vaz,Shirley Cristina Cabral Nascimento,Engenharia Química
Biocombustíveis,UNINGA,Ana Carolina Gomes Mantovani,,Física
Biocombustíveis e Bioaditivos,UFCG,Aldre Jorge Morais Barros,Lenilde Mérgia Ribeiro Lima,Química
Biocombustíveis líquidos,CNPEM,Edvaldo Rodrigo de Morais,,Engenharia Química
"Biocombustíveis, Produtos Naturais e Sintéticos Bioativos",UFPB,Petrônio Filgueiras de Athayde Filho,,Química
BIOCOMPATIBILIDADE DE MATERIAIS,PUCRS,João Batista Blessmann Weber,Rogerio Miranda Pagnoncelli,Odontologia
Biocompatibilidade e reparação,UNIFAL/MG,Ronaldo Célio Mariano,Germana de Villa Camargos,Odontologia
Biocompostos e Sistemas BiolÃ³gicos,UFCG,Matheus Augusto de Bittencourt Pasquali,,Bioquímica
BioCon - Biologia da Conservação,UNIOESTE,José Flávio Cândido Júnior,Eliseu Vieira Dias,Ecologia
Biocontrole e Segurança Alimentar,UTFPR,Alexandre Rodrigo Coelho,Alessandra Machado-Lunkes,Ciência e Tecnologia de Alimentos
BioCrom - Cromatografia de Bioafinidade e Química Ambiental,UFF,Marcela Cristina de Moraes,,Química
BIOD - Bioinformática Ômicas e Desenvolvimento,UFPA,Adonney Allan de Oliveira Veras,,Ciência da Computação
BIODATA,IFSP,Leticia Souza Netto Brandi,Ana Cristina Gobbo César,Ciência da Computação
BioDecapoda (Grupo de Pesquisa sobre biologia e ecologia de Decapoda),UESB,Vivian Fransozo Cunha,,Zoologia
"BIODESA - Biodinâmica do Desempenho, Exercício e Saúde",UERJ,Vicente Pinheiro Lima,,Educação Física
"BIODESA - Grupo de Pesquisa em Biodinâmica do Desempenho, Exercício e Saúde.",UCB/RJ,Vicente Pinheiro Lima,,Educação Física
Biodesign,UTFPR,Alessandra Cristine Novak Sydney,,Biotecnologia
Biodesign,UTFPR,Alessandra Cristine Novak Sydney,,Biotecnologia
Biodinâmica do Exercício Físico e Metabolismo,IFCE,Francisco Adelvane de Paulo Rodrigues,,Fisiologia
Biodinâmica do Movimento Humano,UFAM,Daurimar Pinheiro Leão,Ivan de Jesus Ferreira,Educação Física
Biodinâmica do Movimento Humano,UFC,Alexandre Igor Araripe Medeiros,Claudio de Oliveira Assumpção,Educação Física
Biodinâmica do movimento humano,UCP,Fabiana Rodrigues Scartoni,,Educação Física
Biodireito e seu discurso científico,UFRJ,Rafael Esteves Frutuoso,,Bioética
"Biodireito, Bioética e Direitos Humanos",UFU,Claudia Regina de Oliveira Magalhães da Silva Loureiro,Thiago Gonçalves Paluma Rocha,Direito
Biodireito: Biossegurança e Bioética - GPBB,UEA,Valmir Cesar Pozzetti,Anna Walléria Guerra Uchôa,Direito
Biodiscovery - Grupo de Pesquisa e Inovação em Biomarcadores para o Diagnóstico e Monitoramento de Doenças Raras,HCPA,Roberto Giugliani,,Medicina
Biodisponibilidade e bioacessibilidade de compostos bioativos da Amazônia,UFPA,Nayara Macedo Peixoto Araujo,,Ciência e Tecnologia de Alimentos
Biodisponibilidade e Metabolismo de MIcronutrientes,UnB,Sandra Fernandes Arruda,,Bioquímica
Biodispositivos Nanoestruturados - BioNano,UFPE,Maria Danielly Lima de Oliveira,César Augusto Souza de Andrade,Bioquímica
biodiversidade,UNIVILLE,Denise Monique Dubet da Silva Mouga,,Zoologia
Biodiversidade,EMBRAPA,Eulalia Soler Sobreira Hoogerheide,,Genética
Biodiversidade,UPE,Betty Rose de Araujo Luz,Filipe Martins Aléssio,Ecologia
Biodiversidade,UFAC,Lisandro Juno Soares Vieira,Fernando Augusto Schmidt,Ecologia
Biodiversidade,IFCE,Manoel Paiva de Araújo Neto,Rafaela Camargo Maia,Ecologia
Biodiversidade,FAMAM,Vania Jesus dos Santos de Oliveira,Vanessa de Oliveira Almeida,Agronomia
Biodiversidade,PUC Minas,Henrique Paprocki,,Zoologia
Biodiversidade Animal,URCA,Fábio Hideki Yamada,,Ecologia
Biodiversidade Animal,IFRS,Rodrigo César Corrêa,,Zoologia
Biodiversidade Animal da Amazônia Setentrional-BAASE,UFRR,Francisco Edson Gomes,Cléria Mendonça de Moraes,Zoologia
Biodiversidade Animal do Cerrado,IF Goiano,Lia Raquel de Souza Santos,Rinneu Elias Borges,Zoologia
Biodiversidade Animal do Sul do Brasil,UNICENTRO,João Marcelo Deliberador Miranda,,Zoologia
Biodiversidade aplicada a educação e sustentabilidade na Amazônia,UFOPA,Graciene do Socorro Taveira Fernandes,Eveleise Samira Martins Canto,Microbiologia
BIODIVERSIDADE COMO FERRAMENTA DE GESTÃO DOS BIOMAS MATO-GROSSENSES,UNEMAT,Mônica Josene Barbosa Pereira,Carla Galbiati,Agronomia
Biodiversidade da Amazônia,UFRA,Tâmara Thaiz Santana Lima,Luiz Gonzaga da Silva Costa,Recursos Florestais e Engenharia Florestal
"Biodiversidade da Caatinga: Sistemática, Biologia, Ecologia, Biogeografia e Conservação",UFCG,Marcelo Nogueira de Carvalho Kokubum,,Zoologia
Biodiversidade da Entomofauna do Cerrado,IFB,Leandro Vieira,,Agronomia
Biodiversidade da flora terrestre e aquática,UFRPE,Carmen Sílvia Zickel,,Botânica
Biodiversidade da Mesorregião Norte Piauiense,UFPI,Jesus Rodrigues Lemos,Ivanilza Moreira de Andrade,Botânica
Biodiversidade de AnelÍdeos Poliquetas Marinhos Neotropicais,UFRJ,Paulo Cesar de Paiva,,Zoologia
Biodiversidade de Crustacea,UERJ,André Resende de Senna,Luiz Felipe de Andrade,Zoologia
Biodiversidade de dinoflagelados epi-bentônicos marinhos,UNIRIO,Silvia Mattos Nascimento,,Oceanografia
Biodiversidade de Ecossistemas Subtropicais,UFPR,Liliani Marilia Tiepolo,Juliana Quadros,Ecologia
Biodiversidade de Hymenoptera,UFGD,Rogério Silvestre,,Ecologia
Biodiversidade de Hymenoptera,UFES,Marcelo Teixeira Tavares,,Zoologia
Biodiversidade de peixes amazônicos,UFOPA,Frank Raynner Vasconcelos Ribeiro,André Luiz Colares Canto,Zoologia
Biodiversidade de Produtores Primários,UFPA,Thaísa Sala Michelan,Grazielle Sales Teodoro,Botânica
Biodiversidade de Recursos da Região do Alto Solimões - BRAS,UFAM,Jose Furtado de Miranda,Libia de Jesus Miléo,Zoologia
Biodiversidade de Vertebrados,UFV,Renato Neves Feio,Jorge Abdala Dergam Dos Santos,Zoologia
Biodiversidade do Alto Vale do Itajaí,UNIDAVI,Robson Carlos Avi,Adriana Thives,Biologia Geral
"Biodiversidade do Atlântico Sul: Ecologia, Impactos Ambientais e Conservação",UFC,Marcelo de Oliveira Soares,Cristina de Almeida Rocha-Barreira,Oceanografia
Biodiversidade do cerrado amazônico,UEMASUL,Regiane Saturnino Ferreira,Cleonilde Queiroz,Ecologia
Biodiversidade do Cerrado: Estudo da Ciência e Tecnologia de Alimentos,UFG,Eduardo Ramirez Asquieri,Clarissa Damiani,Ciência e Tecnologia de Alimentos
BIODIVERSIDADE DO SEMIARIDO,UESB,Raquel Pérez-Maluf,Michele Martins Corrêa,Zoologia
Biodiversidade do Sudoeste baiano,UFBA,Mário André Trindade Dantas,,Ecologia
Biodiversidade do Trópico Ecotonal do Nordeste (BioTEN),UFPI,Antonio Alberto Jorge Farias Castro,Ruth Raquel Soares de Farias,Ecologia
Biodiversidade dos parasitos de peixes do Nordeste Brasileiro e seu uso como bioindicador ambiental.,UFAL,Vanessa Doro Abdallah,,Parasitologia
Biodiversidade e Ambiente,UNIJUI,Juliana Maria Fachinetto,Vidica Bianchi,Ecologia
Biodiversidade e Biologia Integrativa,UNESP,Pitágoras da Conceição Bispo,Ciro Cesar Zanini Branco,Zoologia
Biodiversidade e bioprospecção em sistemas de veredas,UNIMONTES,Yule Roberta Ferreira Nunes,,Ecologia
Biodiversidade e bioprospecção em sistemas de veredas,UNIMONTES,Yule Roberta Ferreira Nunes,,Ecologia
Biodiversidade e Bioprospecção no Cerrado,UniEVANGELICA,Josana de Castro Peixoto,,Ciências Ambientais
Biodiversidade e Biotecnologia de Endófitos,UFAM,José Odair Pereira,Spartaco Astolfi Filho,Genética
Biodiversidade e Biotecnologia do Centro-Norte Piauiense - BIOTECPI,IFPI,Etielle Barroso de Andrade,Rudy Camilo Nunes,Biologia Geral
Biodiversidade e Conservação,UNESPAR,Daniela Roberta Holdefer,Carla Andreia Lorscheider,Ecologia
Biodiversidade e Conservação,UTFPR,Fernanda Ferrari,Elton Celton de Oliveira,Ecologia
Biodiversidade e Conservação,URI,Ricardo Giovenardi,Marcelo Carvalho da Rocha,Ecologia
Biodiversidade e Conservação,IF-Farroupilha,Caroline Leuchtenberger,,Ecologia
Biodiversidade e conservação,IFTO,Darcy Alves do Bomfim,Ilsamar Mendes Soares,Biologia Geral
Biodiversidade e conservação,UFSC,Eduardo Luís Hettwer Giehl,Rafael Barbizan Sühs,Ecologia
Biodiversidade e Conservação da Amazônia Meridional,UNEMAT,Solange Aparecida Arrolho da Silva,Ana Aparecida Bandini Rossi,Ecologia
Biodiversidade e Conservação da Fauna - GPCON,UFFS,Paulo Afonso Hartmann,Marilia Hartmann,Ecologia
Biodiversidade e Conservação de Ecossistemas,UNEAL,Katia Santos Bezerra,,Ecologia
Biodiversidade e Conservação de Ecossistemas Aquáticos,UNIDERP,José Sabino,Luciana Paes de Andrade,Ecologia
BIODIVERSIDADE E CONSERVAÇÃO DE ECOSSISTEMAS AQUÁTICOS DO SEMIÁRIDO,UFERSA,Rodrigo Fernandes,,Ecologia
Biodiversidade e Conservação de Ecossistemas do Recôncavo Bahiano,UFRB,Sergio Schwarz da Rocha,,Ecologia
Biodiversidade e Conservação do Cerrado,UEG,Hélida Ferreira da Cunha,,Ecologia
Biodiversidade e Conservação do Cerrado,UniEVANGELICA,Vívian da Silva Braz,,Ecologia
Biodiversidade e conservação dos ecossistemas campestres no sul do Brasil,UFRGS,Gerhard Ernst Overbeck,,Ecologia
Biodiversidade e Conservação em Paisagens Fragmentadas,UEG,Wellington Hannibal Lopes,,Ecologia
Biodiversidade e Ecologia de Algas e Cianobactérias,UFES,Stéfano Zorzal de Almeida,,Ecologia
Biodiversidade e ecologia de riachos,UNILA,Cleto Kaveski Peres,Luiz Henrique Garcia Pereira,Ecologia
Biodiversidade e Ecologia do Bioma AmazÃÂÃÂ´nico,UFAM,Ana Claudia Kaminski Mechi,Fernando Mauro Pereira Soares,Ecologia
Biodiversidade e ecologia funcional de organismos aquáticos,UFRA,Bárbara Dunck Oliveira,,Ecologia
Biodiversidade e Ecologia Humana na Amazônia,IFPA,Milton José de Paula,,Ecologia
Biodiversidade e ecologia parasitária de peixes,UFRRJ,Michelle Daniele dos Santos-Clapp,,Parasitologia
Biodiversidade e Educação Ambiental - BEA,IFMA,Éville Karina Maciel Delgado Ribeiro-Novaes,,Ecologia
Biodiversidade e Evolução Molecular,UNIRIO,Fabiano Salgueiro,,Genética
Biodiversidade e Evolução Molecular,UERJ,Anderson Vilasboa de Vasconcellos,Jaqueline Gusmão da Silva,Genética
Biodiversidade e impacto ambiental no Estado do Espírito Santo,UFES,Luceli de Souza,Adriane Cristina Araújo Braga,Ecologia
Biodiversidade e manejo de florestas,UFPA,Emil José Hernández Ruz,,Ecologia
Biodiversidade e melhoramento genético de palmeiras nativas da Amazônia,EMBRAPA,Ricardo Lopes,Santiago Linorio Ferreyra Ramos,Agronomia
Biodiversidade e Produtos Naturais,MACKENZIE,Edgard Antonio Ferreira,,Química
Biodiversidade e Recursos Genéticos,UFPI,Daniel Costa Fortier,Mauro Sérgio Cruz Souza Lima,Zoologia
Biodiversidade e Recursos Pesqueiros Marinhos e Costeiros,UEFS,George Olavo Mattos e Silva,,Oceanografia
Biodiversidade e Resistoma Microbiano de Ambientes Aquáticos e Epidemiologia Baseada na Análise de Águas Residuais,FIOCRUZ,Maysa Beatriz Mandetta Clementino,Kayo Cesar Bianco Fernandes,Microbiologia
Biodiversidade e Saúde,UFPI,Maria Regiane Araujo Soares,,Biologia Geral
Biodiversidade e Serviços Ecossistêmicos,UFPB,Helder Farias Pereira de Araujo,Bráulio Almeida Santos,Ecologia
Biodiversidade e Sustentabilidade,EMBRAPA,Eulalia Soler Sobreira Hoogerheide,,Genética
Biodiversidade e Taxonomia de Helmintos Parasitos de Peixes,FIOCRUZ,Simone Chinicz Cohen,Márcia Cristina Nascimento Justo,Zoologia
Biodiversidade e uso sustentável do Bioma Cerrado,IFNMG,Gabriel Müller Valadão,,Recursos Florestais e Engenharia Florestal
BIODIVERSIDADE EM ECOSSISTEMAS AQUÁTICOS CONTINENTAIS E ÁREAS DE ENTORNO,UNIRIO,Christina Wyss Castelo Branco,Ana Maria Paulino Telles de Carvalho e Silva,Ecologia
Biodiversidade em paisagens fragmentadas,IF Goiano,Alessandro Ribeiro de Morais,,Ecologia
Biodiversidade Entomológica,FIOCRUZ,Jane Margaret Costa de Frontin Werneck,Cleber Galvão Ferreira,Zoologia
Biodiversidade Genética e Evolução de Drosophila,UNICAMP,Louis Bernard Klaczko,,Genética
Biodiversidade Genômica,UFRJ,Cristiano Valentim da Silva Lazoski,,Genética
Biodiversidade Marinha,UNICAMP,Antonia Cecilia Zacagnini Amaral,,Zoologia
Biodiversidade marinha e conservação,UFAL,Robson Guimarães dos Santos,Karla Paresque,Zoologia
Biodiversidade Neotropical,PUC GOIÁS,Wilian Vaz-Silva,Mariana Pires de Campos Telles,Biologia Geral
Biodiversidade no Espaço e Tempo,UNIFAP,Darren Norris,,Zoologia
Biodiversidade no Tempo Profundo,UFES,Taissa Rodrigues Marques da Silva,,Zoologia
Biodiversidade plancton-bentônica de águas costeiras e oceânicas,UFRGS,Carla Maria Menegola da Silva,Cristianini Trescastro Bergue,Zoologia
Biodiversidade Urbana,IFES,Isabel De Conte Carvalho de Alencar,,Biologia Geral
BIODIVERSIDADE VEGETAL COM ÊNFASE NA FLORA DA BAHIA,UNEB,Adilva de Souza Conceição,Adailson Feitoza de Jesus Santos,Botânica
Biodiversidade Vegetal do Semiárido Brasileiro,UVA-CE,Elnatan Bezerra de Souza,Marlene Feliciano Figueirêdo,Botânica
Biodiversidade Vegetal em Ecossistemas de Transição do Maranhão,UFMA,Eduardo Bezerra de Almeida Junior,,Botânica
Biodiversidade Zoobotânica Paranaense,IFPR,Adriana Couto Pereira,,Ecologia
"Biodiversidade, Biogeografia e Conservação",UNIP,Cristiane Jaciara Furlaneto,Ednilse Leme,Ecologia
"Biodiversidade, Conservação e Uso dos Recursos Naturais na Amazônia",UNIR,Izaias Médice Fernandes,Paulo Vilela Cruz,Biologia Geral
"Biodiversidade, conservação e uso sustentável no Bioma Pampa.",URCAMP,Anabela Silveira de Oliveira,Lize Helena Cappellari,Botânica
"Biodiversidade, Ecologia e Biologia Experimental do Plâncton",UFSCAR,Maria da Graca Gama Melao,,Ecologia
"Biodiversidade, ecologia e medidas de controle dos vetores das doenças negligenciadas",UEMA,Valéria Cristina Soares Pinheiro,Carlos Augusto Silva de Azevêdo,Parasitologia
"Biodiversidade, Ecologia, Biologia e Fauna Associada ao Coral-Sol (Scleractinia, Dendrophylliidae) na Baia de Todos-os-Santos (BA)",UFBA,Elizabeth Gerardo Neves,,Zoologia
